timestamp,x,y,magnetic_field,source,line_id,dist_m,dt_s,velocity,base_magnetic_field
1777113269.0,-2.59803498,8.14569114,32576.02985,airborne,A (16),0.4011003479394201,0.0999999046325683,4.01100730458885,32576.51
1777113269.1,-2.5980318,8.14569329,32574.73625,airborne,A (16),0.4238828903483848,0.0999999046325683,4.23883294594996,32576.50400000572
1777113269.2,-2.59802787,8.14569505,32573.87765,airborne,A (16),0.4747961397656082,0.1000001430511474,4.747954605652538,32576.497999997137
1777113269.3,-2.59802415,8.145697,32573.57685,airborne,A (16),0.4633384180128891,0.0999999046325683,4.633388598872596,32576.49200000286
1777113269.4,-2.5980204,8.14569899,32573.96745,airborne,A (16),0.4683442296940773,0.1000001430511474,4.68343559723241,32576.48599999428
1777113269.5,-2.59801661,8.14570102,32574.75445,airborne,A (16),0.4743297455918982,0.0999999046325683,4.743301979484255,32576.48
1777113269.6,-2.59801278,8.14570308,32575.29465,airborne,A (16),0.4797903590095551,0.0999999046325683,4.797908165737341,32576.607999877928
1777113269.7,-2.59800891,8.14570516,32575.58285,airborne,A (16),0.4847208525765348,0.1000001430511474,4.847201591787851,32576.736000061035
1777113269.8,-2.59800499,8.14570727,32575.67715,airborne,A (16),0.4911493773846356,0.0999999046325683,4.911498457816291,32576.863999938963
1777113269.9,-2.59800105,8.14570957,32575.52255,airborne,A (16),0.5034803010635943,0.1000001430511474,5.034795808302767,32576.99200012207
1777113270.0,-2.59799696,8.14571135,32575.28585,airborne,A (16),0.4917866490671141,0.0999999046325683,4.917871180718578,32577.12
1777113270.1,-2.59799249,8.14571101,32574.9962,airborne,A (16),0.493476976581703,0.0999999046325683,4.934774471984701,32577.02400009155
1777113270.2,-2.59798792,8.14571012,32574.7174,airborne,A (16),0.5126762348213714,0.1000001430511474,5.126755014331838,32576.927999954223
1777113270.3,-2.59798337,8.14570942,32574.448,airborne,A (16),0.5068448390619046,0.0999999046325683,5.06845322427271,32576.832000045775
1777113270.4,-2.59797881,8.14570872,32574.07405,airborne,A (16),0.5079325415949916,0.1000001430511474,5.079318149927019,32576.735999908447
1777113270.5,-2.59797424,8.14570801,32573.565,airborne,A (16),0.5091915186625392,0.0999999046325683,5.091920042658758,32576.64
1777113270.6,-2.59796966,8.14570731,32572.9317,airborne,A (16),0.5101081143538395,0.0999999046325683,5.101086008313107,32576.707999935148
1777113270.7,-2.59796507,8.1457066,32572.3256,airborne,A (16),0.5113664739424342,0.1000001430511474,5.113657424278719,32576.776000032423
1777113270.8,-2.59796048,8.14570589,32572.00765,airborne,A (16),0.5113664748710661,0.0999999046325683,5.113669625486046,32576.843999967576
1777113270.9,-2.59795593,8.14570515,32571.5168,airborne,A (16),0.5075469244592101,0.1000001430511474,5.075461984085494,32576.91200006485
1777113271.0,-2.5979512,8.14570451,32571.19625,airborne,A (16),0.5254867358717779,0.0999999046325683,5.254872370154594,32576.98
1777113271.1,-2.59794605,8.14570387,32570.7945,airborne,A (16),0.5713258296986622,0.0999999046325683,5.713263745579519,32576.89600008011
1777113271.2,-2.59794072,8.14570334,32570.4299,airborne,A (16),0.5896420055581648,0.1000001430511474,5.896411620697166,32576.811999959948
1777113271.3,-2.59793544,8.14570278,32570.33135,airborne,A (16),0.5845121274879458,0.0999999046325683,5.84512684922681,32576.728000040053
1777113271.4,-2.59793016,8.14570221,32570.23475,airborne,A (16),0.5846316317310206,0.1000001430511474,5.8463079540995935,32576.643999919892
1777113271.5,-2.59792487,8.14570164,32570.33175,airborne,A (16),0.5857258878637778,0.0999999046325683,5.857264464560462,32576.56
1777113271.6,-2.59791958,8.14570107,32570.40865,airborne,A (16),0.5857258886445574,0.0999999046325683,5.857264472368266,32576.569999990465
1777113271.7,-2.59791428,8.1457005,32570.41405,airborne,A (16),0.5868201689791596,0.1000001430511474,5.868193295273752,32576.58000000477
1777113271.8,-2.59790897,8.14569993,32570.5908,airborne,A (16),0.587914473335165,0.0999999046325683,5.879150340146332,32576.58999999523
1777113271.9,-2.59790373,8.14569932,32570.89435,airborne,A (16),0.5807575206305574,0.1000001430511474,5.807566898514486,32576.600000009537
1777113272.0,-2.59789828,8.14569883,32571.1969,airborne,A (16),0.6023674979516184,0.0999999046325683,6.02368072414578,32576.61
1777113272.1,-2.59789219,8.14569885,32571.5386,airborne,A (16),0.670348725751821,0.0999999046325683,6.703493650467935,32576.67199994087
1777113272.2,-2.59788591,8.14569898,32571.9945,airborne,A (16),0.6914100469733258,0.1000001430511474,6.914090579047348,32576.734000029563
1777113272.3,-2.5978797,8.14569908,32572.3814,airborne,A (16),0.6836442411463829,0.0999999046325683,6.83644893120959,32576.795999970436
1777113272.4,-2.59787348,8.14569917,32572.71665,airborne,A (16),0.6847276721726572,0.1000001430511474,6.847266926632663,32576.85800005913
1777113272.5,-2.59786726,8.14569927,32573.15065,airborne,A (16),0.6847448261534775,0.0999999046325683,6.847454791776543,32576.92
1777113272.6,-2.59786105,8.14569937,32573.5533,airborne,A (16),0.6836442406541098,0.0999999046325683,6.836448926286854,32576.880000038145
1777113272.7,-2.59785483,8.14569946,32573.8068,airborne,A (16),0.6847276716277719,0.1000001430511474,6.847266921183818,32576.839999980926
1777113272.8,-2.59784861,8.14569956,32573.90975,airborne,A (16),0.684744825747914,0.0999999046325683,6.847454787720904,32576.800000019073
1777113272.9,-2.5978425,8.14569969,32574.13595,airborne,A (16),0.6727018266370529,0.1000001430511474,6.727008643307475,32576.759999961854
1777113273.0,-2.59783607,8.14569972,32574.38605,airborne,A (16),0.7077777425586235,0.0999999046325683,7.07778417548722,32576.72
1777113273.1,-2.59782852,8.14569943,32574.3746,airborne,A (16),0.831677107940879,0.0999999046325683,8.316779010907329,32576.745999975206
1777113273.2,-2.59782065,8.14569903,32574.32815,airborne,A (16),0.8674161979111762,0.1000001430511474,8.67414957064127,32576.7720000124
1777113273.3,-2.59781288,8.14569867,32574.3508,airborne,A (16),0.8562040843370967,0.0999999046325683,8.562049008777203,32576.7979999876
1777113273.4,-2.59780511,8.14569831,32574.26355,airborne,A (16),0.8562040851574162,0.1000001430511474,8.562028603494,32576.824000024793
1777113273.5,-2.59779735,8.14569795,32574.07095,airborne,A (16),0.8551045603512808,0.0999999046325683,8.551053758433156,32576.85
1777113273.6,-2.59778958,8.14569759,32573.921,airborne,A (16),0.8562040867023597,0.0999999046325683,8.562049032429854,32576.78800005913
1777113273.7,-2.59778181,8.14569723,32573.7775,airborne,A (16),0.8562040874624304,0.1000001430511474,8.562028626544107,32576.725999970437
1777113273.8,-2.59777404,8.14569687,32573.5699,airborne,A (16),0.8562040881870546,0.0999999046325683,8.562049047276819,32576.664000029563
1777113273.9,-2.59776645,8.14569649,32573.3111,airborne,A (16),0.836522497860281,0.1000001430511474,8.365213012069608,32576.60199994087
1777113274.0,-2.59775833,8.14569617,32573.06195,airborne,A (16),0.8945013840213495,0.0999999046325683,8.94502237085159,32576.54
1777113274.1,-2.59774843,8.14569599,32572.8107,airborne,A (16),1.0899072607068143,0.0999999046325683,10.899083001243676,32576.60599993706
1777113274.2,-2.59773801,8.14569588,32572.57325,airborne,A (16),1.147026684593607,0.1000001430511474,11.470250437611202,32576.67200003147
1777113274.3,-2.59772776,8.14569574,32572.37415,airborne,A (16),1.1283564358833944,0.0999999046325683,11.283575119689733,32576.73799996853
1777113274.4,-2.59771751,8.14569561,32572.1367,airborne,A (16),1.128341643174758,0.1000001430511474,11.28340029071399,32576.80400006294
1777113274.5,-2.59770727,8.14569547,32571.9129,airborne,A (16),1.127255810706906,0.0999999046325683,11.27256885742846,32576.87
1777113274.6,-2.59769702,8.14569533,32571.93045,airborne,A (16),1.1283564370388954,0.0999999046325683,11.283575131244756,32576.836000032425
1777113274.7,-2.59768677,8.1456952,32571.98165,airborne,A (16),1.1283416442842504,0.1000001430511474,11.2834003018089,32576.80199998379
1777113274.8,-2.59767652,8.14569506,32572.02055,airborne,A (16),1.1283564378484716,0.0999999046325683,11.283575139340524,32576.76800001621
1777113274.9,-2.59766618,8.14569493,32572.10135,airborne,A (16),1.1382474160752514,0.1000001430511474,11.38245787801591,32576.733999967575
1777113275.0,-2.59765611,8.14569479,32572.15365,airborne,A (16),1.1085452039953971,0.0999999046325683,11.08546261187495,32576.7
1777113275.1,-2.59764696,8.14569466,32572.35245,airborne,A (16),1.0072723912344428,0.0999999046325683,10.07273351845168,32576.727999973296
1777113275.2,-2.59763808,8.14569452,32572.59865,airborne,A (16),0.9775728890727172,0.1000001430511474,9.775714906454825,32576.756000013353
1777113275.3,-2.59762912,8.14569439,32572.90295,airborne,A (16),0.9863607064366664,0.0999999046325683,9.86361647104436,32576.78399998665
1777113275.4,-2.59762015,8.14569426,32573.32645,airborne,A (16),0.9874613195288372,0.1000001430511474,9.874599069561096,32576.812000026704
1777113275.5,-2.59761118,8.14569413,32573.6003,airborne,A (16),0.987461319849459,0.0999999046325683,9.874622615668562,32576.84
1777113275.6,-2.59760222,8.14569399,32573.8265,airborne,A (16),0.9863776298999573,0.0999999046325683,9.863785705838662,32576.792000045778
1777113275.7,-2.59759325,8.14569386,32573.8929,airborne,A (16),0.9874613205179542,0.1000001430511474,9.874599079452253,32576.743999977112
1777113275.8,-2.59758428,8.14569373,32573.9836,airborne,A (16),0.9874613207922304,0.0999999046325683,9.874622625096286,32576.696000022886
1777113275.9,-2.59757503,8.1456936,32573.91805,airborne,A (16),1.0182785804493184,0.1000001430511474,10.182771237922084,32576.64799995422
1777113276.0,-2.59756664,8.14569346,32574.0253,airborne,A (16),0.9236443218223532,0.0999999046325683,9.236452026790609,32576.6
1777113276.1,-2.59756121,8.14569324,32574.28255,airborne,A (16),0.5981972205583157,0.0999999046325683,5.981977910441851,32576.65199995041
1777113276.2,-2.59755664,8.145693,32574.4569,airborne,A (16),0.5037413590366046,0.1000001430511474,5.037406384298411,32576.704000024794
1777113276.3,-2.59755179,8.14569277,32574.6444,airborne,A (16),0.5344666727320798,0.0999999046325683,5.344671824397047,32576.755999975205
1777113276.4,-2.59754694,8.14569254,32574.81635,airborne,A (16),0.5344666729947589,0.1000001430511474,5.344659084351441,32576.80800004959
1777113276.5,-2.59754209,8.14569231,32574.88435,airborne,A (16),0.5344666733180727,0.0999999046325683,5.344671830256981,32576.86
1777113276.6,-2.59753724,8.14569209,32574.8721,airborne,A (16),0.534414619774327,0.0999999046325683,5.344151294323103,32576.875999984743
1777113276.7,-2.59753239,8.14569186,32574.8869,airborne,A (16),0.5344666738738212,0.1000001430511474,5.344659093142052,32576.89200000763
1777113276.8,-2.59752754,8.14569163,32574.81565,airborne,A (16),0.5344666742070001,0.0999999046325683,5.344671839146264,32576.90799999237
1777113276.9,-2.59752277,8.14569149,32574.68085,airborne,A (16),0.5252793136546116,0.1000001430511474,5.252785622376009,32576.924000015257
1777113277.0,-2.59751775,8.14569107,32574.51465,airborne,A (16),0.5545369186331186,0.0999999046325683,5.545374474812397,32576.94
1777113277.1,-2.59751183,8.14568978,32574.45715,airborne,A (16),0.6672334916313476,0.0999999046325683,6.672341279553985,32576.876000061035
1777113277.2,-2.59750565,8.14568822,32574.4569,airborne,A (16),0.7020199923640835,0.1000001430511474,7.0201898811786565,32576.811999969483
1777113277.3,-2.59749956,8.14568674,32574.57885,airborne,A (16),0.6902501592128797,0.0999999046325683,6.902508174873562,32576.748000030515
1777113277.4,-2.59749346,8.14568527,32574.6625,airborne,A (16),0.6910553443704336,0.1000001430511474,6.91054355809248,32576.683999938963
1777113277.5,-2.59748736,8.14568379,32574.51465,airborne,A (16),0.6913192022673162,0.0999999046325683,6.913198615613126,32576.62
1777113277.6,-2.59748126,8.14568231,32574.61825,airborne,A (16),0.6913192047205771,0.0999999046325683,6.913198640145758,32576.58200003624
1777113277.7,-2.59747516,8.14568084,32574.7168,airborne,A (16),0.6910553514642244,0.1000001430511474,6.910543629030286,32576.54399998188
1777113277.8,-2.59746905,8.14567936,32574.57345,airborne,A (16),0.6923883471542948,0.0999999046325683,6.923890074679082,32576.50600001812
1777113277.9,-2.59746317,8.14567807,32574.55985,airborne,A (16),0.6629342092062415,0.1000001430511474,6.629332608726049,32576.46799996376
