???-r^s???q??????mr^s???q???

/Gem Systems GSM-19W 9088378 v7.0 23 VI 2022 M ew3ft~v7o 
/ID 1 file 63      .b   25 IV 26
/datum  32000.00
/ 008.1350146  -002.5929778 
/UTC
/30P
/00D809A6 8919
/GPS version 2018/Aug/24
/50Hz AC filter
/12.9V
/tune initialize N auto-tune N 032.7uT
/028800bps
/time nT sq 
140431.0  32560.21 99 
140431.5  32560.31 99 
140432.0  32560.33 99 
140432.5  32560.57 99 
140433.0  32560.11 99 
140433.5  32560.20 99 
140434.0  32560.59 99 
140434.5  32560.46 99 
140435.0  32560.17 99 
140435.5  32560.04 99 
140436.0  32560.36 99 
140436.5  32560.55 99 
140437.0  32560.08 99 
140437.5  32560.68 99 
140438.0  32560.55 99 
140438.5  32560.81 99 
140439.0  32560.08 99 
140439.5  32560.77 99 
140440.0  32560.25 99 
140440.5  32560.05 99 
140441.0  32560.42 99 
140441.5  32560.19 99 
140442.0  32560.56 99 
140442.5  32560.14 99 
140443.0  32559.94 99 
140443.5  32560.65 99 
140444.0  32560.33 99 
140444.5  32559.98 99 
140445.0  32560.94 99 
140445.5  32560.75 99 
140446.0  32560.53 99 
140446.5  32560.00 99 
140447.0  32560.29 99 
140447.5  32559.90 99 
140448.0  32560.65 99 
140448.5  32560.00 99 
140449.0  32560.44 99 
140449.5  32560.45 99 
140450.0  32560.56 99 
140450.5  32560.68 99 
140451.0  32560.39 99 
140451.5  32559.90 99 
140452.0  32560.87 99 
140452.5  32560.69 99 
140453.0  32560.22 99 
140453.5  32560.41 99 
140454.0  32560.62 99 
140454.5  32560.29 99 
140455.0  32559.86 99 
140455.5  32560.79 99 
140456.0  32560.22 99 
140456.5  32560.66 99 
140457.0  32560.39 99 
140457.5  32560.79 99 
140458.0  32560.47 99 
140458.5  32559.99 99 
140459.0  32560.52 99 
140459.5  32560.98 99 
140500.0  32560.49 99 
140500.5  32560.11 99 
140501.0  32560.62 99 
140501.5  32560.26 99 
140502.0  32560.40 99 
140502.5  32560.39 99 
140503.0  32560.29 99 
140503.5  32560.98 99 
140504.0  32560.32 99 
140504.5  32560.92 99 
140505.0  32560.22 99 
140505.5  32560.41 99 
140506.0  32560.54 99 
140506.5  32560.57 99 
140507.0  32560.90 99 
140507.5  32561.14 99 
140508.0  32560.40 99 
140508.5  32560.54 99 
140509.0  32560.94 99 
140509.5  32560.56 99 
140510.0  32560.24 99 
140510.5  32560.32 99 
140511.0  32560.61 99 
140511.5  32560.81 99 
140512.0  32560.21 99 
140512.5  32560.81 99 
140513.0  32560.31 99 
140513.5  32560.68 99 
140514.0  32560.82 99 
140514.5  32560.72 99 
140515.0  32560.89 99 
140515.5  32560.54 99 
140516.0  32560.66 99 
140516.5  32560.45 99 
140517.0  32560.66 99 
140517.5  32560.36 99 
140518.0  32561.08 99 
140518.5  32560.57 99 
140519.0  32560.08 99 
140519.5  32560.86 99 
140520.0  32560.21 99 
140520.5  32560.09 99 
140521.0  32561.20 99 
140521.5  32560.87 99 
140522.0  32561.47 99 
140522.5  32560.19 99 
140523.0  32560.49 99 
140523.5  32560.42 99 
140524.0  32560.62 99 
140524.5  32560.93 99 
140525.0  32560.82 99 
140525.5  32560.56 99 
140526.0  32560.99 99 
140526.5  32560.91 99 
140527.0  32560.71 99 
140527.5  32560.97 99 
140528.0  32560.69 99 
140528.5  32560.94 99 
140529.0  32560.61 99 
140529.5  32560.70 99 
140530.0  32560.58 99 
140530.5  32560.79 99 
140531.0  32560.71 99 
140531.5  32560.46 99 
140532.0  32560.67 99 
140532.5  32560.77 99 
140533.0  32560.80 99 
140533.5  32561.17 99 
140534.0  32560.72 99 
140534.5  32560.34 99 
140535.0  32560.69 99 
140535.5  32560.76 99 
140536.0  32560.65 99 
140536.5  32560.90 99 
140537.0  32560.91 99 
140537.5  32560.78 99 
140538.0  32560.40 99 
140538.5  32560.63 99 
140539.0  32560.92 99 
140539.5  32560.64 99 
140540.0  32560.52 99 
140540.5  32561.09 99 
140541.0  32561.15 99 
140541.5  32560.46 99 
140542.0  32560.40 99 
140542.5  32561.14 99 
140543.0  32561.02 99 
140543.5  32560.83 99 
140544.0  32561.06 99 
140544.5  32560.69 99 
140545.0  32560.88 99 
140545.5  32560.73 99 
140546.0  32560.45 99 
140546.5  32560.83 99 
140547.0  32561.50 99 
140547.5  32560.67 99 
140548.0  32560.60 99 
140548.5  32561.17 99 
140549.0  32560.95 99 
140549.5  32561.09 99 
140550.0  32560.32 99 
140550.5  32560.62 99 
140551.0  32560.51 99 
140551.5  32560.88 99 
140552.0  32560.78 99 
140552.5  32560.25 99 
140553.0  32561.18 99 
140553.5  32561.00 99 
140554.0  32560.82 99 
140554.5  32561.10 99 
140555.0  32560.49 99 
140555.5  32560.99 99 
140556.0  32561.02 99 
140556.5  32560.72 99 
140557.0  32560.52 99 
140557.5  32560.94 99 
140558.0  32560.92 99 
140558.5  32560.50 99 
140559.0  32560.83 99 
140559.5  32561.11 99 
140600.0  32561.18 99 
140600.5  32561.24 99 
140601.0  32560.79 99 
140601.5  32560.64 99 
140602.0  32560.53 99 
140602.5  32560.93 99 
140603.0  32560.78 99 
140603.5  32560.59 99 
140604.0  32560.45 99 
140604.5  32561.04 99 
140605.0  32560.71 99 
140605.5  32560.86 99 
140606.0  32561.69 99 
140606.5  32561.38 99 
140607.0  32561.02 99 
140607.5  32560.79 99 
140608.0  32561.22 99 
140608.5  32561.12 99 
140609.0  32561.03 99 
140609.5  32560.94 99 
140610.0  32561.09 99 
140610.5  32561.10 99 
140611.0  32561.25 99 
140611.5  32561.49 99 
140612.0  32561.15 99 
140612.5  32560.70 99 
140613.0  32560.66 99 
140613.5  32561.12 99 
140614.0  32560.52 99 
140614.5  32560.81 99 
140615.0  32561.52 99 
140615.5  32560.80 99 
140616.0  32560.82 99 
140616.5  32561.08 99 
140617.0  32561.57 99 
140617.5  32561.15 99 
140618.0  32560.46 99 
140618.5  32560.74 99 
140619.0  32560.92 99 
140619.5  32560.75 99 
140620.0  32560.95 99 
140620.5  32560.60 99 
140621.0  32560.99 99 
140621.5  32561.19 99 
140622.0  32560.39 99 
140622.5  32561.05 99 
140623.0  32560.86 99 
140623.5  32560.88 99 
140624.0  32560.98 99 
140624.5  32560.50 99 
140625.0  32561.15 99 
140625.5  32560.69 99 
140626.0  32560.75 99 
140626.5  32561.08 99 
140627.0  32560.57 99 
140627.5  32560.86 99 
140628.0  32561.03 99 
140628.5  32560.22 99 
140629.0  32560.44 99 
140629.5  32561.01 99 
140630.0  32561.15 99 
140630.5  32561.55 99 
140631.0  32561.35 99 
140631.5  32561.07 99 
140632.0  32561.51 99 
140632.5  32561.17 99 
140633.0  32560.77 99 
140633.5  32561.04 99 
140634.0  32560.84 99 
140634.5  32561.06 99 
140635.0  32561.20 99 
140635.5  32561.16 99 
140636.0  32561.04 99 
140636.5  32560.74 99 
140637.0  32561.23 99 
140637.5  32561.59 99 
140638.0  32561.24 99 
140638.5  32560.86 99 
140639.0  32560.63 99 
140639.5  32560.97 99 
140640.0  32561.23 99 
140640.5  32561.02 99 
140641.0  32560.71 99 
140641.5  32561.43 99 
140642.0  32561.24 99 
140642.5  32560.96 99 
140643.0  32561.11 99 
140643.5  32561.36 99 
140644.0  32561.22 99 
140644.5  32560.88 99 
140645.0  32561.02 99 
140645.5  32561.09 99 
140646.0  32560.92 99 
140646.5  32561.20 99 
140647.0  32560.68 99 
140647.5  32560.95 99 
140648.0  32561.05 99 
140648.5  32561.03 99 
140649.0  32561.06 99 
140649.5  32560.84 99 
140650.0  32561.40 99 
140650.5  32561.35 99 
140651.0  32560.63 99 
140651.5  32561.23 99 
140652.0  32561.22 99 
140652.5  32561.30 99 
140653.0  32560.96 99 
140653.5  32561.21 99 
140654.0  32561.39 99 
140654.5  32560.98 99 
140655.0  32560.76 99 
140655.5  32561.46 99 
140656.0  32561.20 99 
140656.5  32561.55 99 
140657.0  32561.04 99 
140657.5  32561.25 99 
140658.0  32561.33 99 
140658.5  32560.66 99 
140659.0  32561.18 99 
140659.5  32560.91 99 
140700.0  32560.88 99 
140700.5  32561.20 99 
